Label;Function;Description;APIName;APIUrl;Action;LocalPermissions;RemotePermissions;Scope;Settings;Available;ReportType;ExportFile;BoxVersion
GET-LANPS;Get-LANPortStats;Get LAN Port Stats Information;lan/stats;https://192.168.1.254/api/v1/lan/stats;GET;public;private;lan-read;No;Yes;Table;lan-ports-stats;23.7.8
GET-LEGACYINFO;Get-LEGACYINFO;Get LEGACY Information;legacy/_info.xml;https://192.168.1.254/legacy/_info.xml;GET;public;private;lan-read;No;No;$null;legacy-info;22.3.22
GET-NATDMZ;Get-NATDMZ;Get NAT DMZ Configuration Information;nat/dmz;https://192.168.1.254/api/v1/nat/dmz;GET;public;private;nat-read;No;Yes;List;nat-dmz;22.3.22
GET-NAT;Get-NAT;Get NAT Configuration Information;nat/rules;https://192.168.1.254/api/v1/nat/rules;GET;public;private;nat-read;No;Yes;List;nat-rules-config;22.3.22
GET-NATR;Get-NATRules;Get NAT Rules Information;nat/rules;https://192.168.1.254/api/v1/nat/rules;GET;public;private;nat-read;No;Yes;Table;nat-rules;22.3.22
GET-NATRID;Get-NATRulesID;Get NAT Rules Information by ID;nat/rules;https://192.168.1.254/api/v1/nat/rules/{id};GET;public;private;nat-read;No;Yes;List;nat-rules-id;22.3.22
GET-NOTIFICATION;Get-NOTIFICATIONConfig;Get NOTIFICATION Configuration Information;notification;https://192.168.1.254/api/v1/notification;GET;private;private;notif-read;No;Yes;List;notification-config;22.3.22
GET-NOTIFICATIONCA;Get-NOTIFICATIONAlerts;Get NOTIFICATION Configuration Alerts List Information;notification/alerts;https://192.168.1.254/api/v1/notification;GET;private;private;notif-read;No;Yes;Table;notification-config-alerts;22.3.22
GET-NOTIFICATIONCC;Get-NOTIFICATIONContacts;Get NOTIFICATION Configuration Contacts List Information;notification/contacts;https://192.168.1.254/api/v1/notification;GET;private;private;notif-read;No;Yes;Table;notification-config-contacts;22.3.22
GET-NOTIFICATIONCE;Get-NOTIFICATIONEvents;Get NOTIFICATION Configuration Events List Information;notification/events;https://192.168.1.254/api/v1/notification;GET;private;private;notif-read;No;Yes;Table;notification-config-events;22.3.22
