Label;Function;Description;APIName;APIUrl;Action;LocalPermissions;RemotePermissions;Scope;Settings;Available;ReportType;ExportFile;BoxVersion
;;Returns the collection of all ShareLink;;https://mafreebox.freebox.fr/api/v4/share_link;Get;Private;Private;;No;Yes;Table;Share_Link;
;;Create a new ShareLink;; https://mafreebox.freebox.fr/api/v4/share_link;Post;Private;Private;;No;No;List;Share_Link;
;;Returns the ShareLink task with the given ID;;https://mafreebox.freebox.fr/api/v4/share_link/{token};Get;Private;Private;;No;Yes;List;Share_Link_By_Token;
;;Delete a File Sharing link;; https://mafreebox.freebox.fr/api/v4/share_link/{token};Delete;Private;Private;;No;No;List;Share_Link_By_Token;
;;;;https://mafreebox.freebox.fr/api/v4/ws/upload;Get;Private;Private;;No;Yes;List;WS_Upload;
;;Get the list of uploads;;https://mafreebox.freebox.fr/api/v4/upload;Get;Private;Private;;No;Yes;Table;Upload_List_Files;
;;Track an upload status by ID;;https://mafreebox.freebox.fr/api/v4/upload/{id};Get;Private;Private;;No;Yes;List;Upload_By_ID;
;;Delete the given FileUpload closing the connection if needed;; https://mafreebox.freebox.fr/api/v4/upload/{id};Delete;Private;Private;;No;No;List;Upload_By_ID_Cancel;
;;Cancel an upload;; https://mafreebox.freebox.fr/api/v4/upload/{id}/cancel;Delete;Private;Private;;No;No;List;Upload_By_ID_Cancel;
;;Cleanup all terminated uploads;; https://mafreebox.freebox.fr/api/v4/upload/clean;Delete;Private;Private;;No;No;List;Upload_Clean;
;;Get the current AirMedia configuration;;https://mafreebox.freebox.fr/api/v4/airmedia/config;Get;Private;Private;;No;Yes;List;Airmedia_Config;
;;Update the current AirMedia configuration;; https://mafreebox.freebox.fr/api/v4/airmedia/config;Put;Private;Private;;No;No;List;Airmedia_Config;
;;Get the list of available AirMedia receivers;;https://mafreebox.freebox.fr/api/v4/airmedia/receivers;Get;Private;Private;;No;Yes;Table;Airmedia_Receivers;
;;Sending a new request to an AirMedia receiver;; https://mafreebox.freebox.fr/api/v4/airmedia/receviers/{receiver_name};Post;Private;Private;;No;No;List;Airmedia_Receivers_ID;
;;Get RRD stats;;https://mafreebox.freebox.fr/api/v4/rrd;Get;Private;Private;;No;Yes;List;rrd;
;;Modify RRD stats;; https://mafreebox.freebox.fr/api/v4/rrd;Post;Private;Private;;No;No;List;rrd;
;;List every calls;;https://mafreebox.freebox.fr/api/v4/call/log;Get;Private;Private;;No;Yes;Table;Call_Log;
;;Access a given call entry;;https://mafreebox.freebox.fr/api/v4/call/log/{id};Get;Private;Private;;No;Yes;List;Call_Log_By_ID;
;;Update a call entry;; https://mafreebox.freebox.fr/api/v4/call/log/{id};Put;Private;Private;;No;No;List;Call_Log_By_ID;
;;Delete a call;; https://mafreebox.freebox.fr/api/v4/call/log/{id};Delete;Private;Private;;No;No;List;Call_Log_By_ID;
;;Delete every calls;; https://mafreebox.freebox.fr/api/v4/call/log/delete_all;Post;Private;Private;;No;No;List;Call_Log_Delete_All;
;;Mark every calls as read;; https://mafreebox.freebox.fr/api/v4/call/log/mark_all_as_read;Post;Private;Private;;No;No;List;Call_Log_mark_all_as_read;
;;Get a list of contacts;;https://mafreebox.freebox.fr/api/v4/contact;Get;Private;Private;;No;Yes;Table;Contact;
;;Get a list of contacts By ID;;https://mafreebox.freebox.fr/api/v4/contact/{id};Get;Private;Private;;No;Yes;List;Contact_By_ID;
;;Create a contact entry;; https://mafreebox.freebox.fr/api/v4/contact;Post;Private;Private;;No;No;List;Contact;
;;Update a contact entry;; https://mafreebox.freebox.fr/api/v4/contact/{id};Put;Private;Private;;No;No;List;Contact;
;;Delete a contact entry;; https://mafreebox.freebox.fr/api/v4/contact/{id};Delete;Private;Private;;No;No;List;Contact;
;;Get the list of numbers for a given contact / Returns the collection of all ContactNumber for a given contac;;https://mafreebox.freebox.fr/api/v4/contact/{contact_id}/[numbers|addresses|urls|emails];Get;Private;Private;;No;Yes;List;Contact_By_ID_Details;
