Label;Function;Description;APIName;APIUrl;Action;LocalPermissions;RemotePermissions;Scope;Settings;Available;ReportType;ExportFile
GET-DEVICEUSBD;Get-DeviceUSBDevices;Get DEVICE USB Devices Information;device/usb;https://192.168.1.254/api/v1/device/usb;GET;public;Private;device-read;No;Yes;Table;device-usb
GET-DEVICEUSBP;Get-DeviceUSBPrinter;Get DEVICE USB Printer Information;device/printer;https://192.168.1.254/api/v1/device/printer;GET;public;Private;device-read;No;Yes;Table;device-printer
GET-DHCP;Get-DHCP;Get DHCP Configuration Information;dhcp;https://192.168.1.254/api/v1/dhcp;GET;public;Private;dhcp-read;No;Yes;List;dhcp
GET-DHCPAO;Get-DHCPActiveOptions;Get DHCP Active Options Configuration Information;dhcp/options;https://192.168.1.254/api/v1/dhcp/options;GET;public;Private;dhcp-read;No;Yes;Table;dhcp-options-active
GET-DHCPO;Get-DHCPOptions;Get DHCP Options Information;dhcp/options;https://192.168.1.254/api/v1/dhcp/options;GET;public;Private;dhcp-read;No;Yes;Table;dhcp-options
GET-DHCPOID;Get-DHCPOptionsID;Get DHCP Options Information by ID;dhcp/options;https://192.168.1.254/api/v1/dhcp/options/{ID};GET;public;Private;dhcp-read;No;Yes;List;dhcp-options-id
GET-DHCPC;Get-DHCPClients;Get DHCP Client Configuration Information;dhcp/clients;https://192.168.1.254/api/v1/dhcp/clients;GET;public;Private;dhcp-read;No;Yes;Table;dhcp-clients
GET-DHCPCID;Get-DHCPClientsID;Get DHCP Clients Configuration Information by ID;dhcp/clients;https://192.168.1.254/api/v1/dhcp/clients/{ID};GET;public;Private;dhcp-read;No;Yes;List;dhcp-clients-id
GET-DHCPSTBO;Get-DHCPSTBOptions;Get DHCP STB Options Information;dhcp/stb/options;https://192.168.1.254/api/v1/dhcp/stb/options;GET;private;Private;dhcp-read;No;Yes;Table;dhcp-stb-options
Get-DHCPv6O;Get-DHCPv6Options;Get DHCP V6 Options Information;dhcp6/options;https://192.168.1.254/api/v1/dhcp6/options;GET;public;Private;dhcp-read;No;Yes;Table;dhcp6-options
Get-DHCPv6PFD;Get-DHCPv6PrefixDelegation;Get-DHCP V6 Prefix Delegation Configuration Information;dhcp6/prefixdelegation;https://192.168.1.254/api/v1/dhcp6/prefixdelegation;GET;public;Private;dhcp-read;No;Yes;List;dhcp6-prefixdelegation
GET-DNSS;Get-DNSStats;Get DNS Stats Information;dns/stats;https://192.168.1.254/api/v1/dns/stats;GET;public;Private;lan-read;No;Yes;List;dns-stats
GET-DYNDNS;Get-DYNDNS;Get DYNDNS Configuration Information;dyndns;https://192.168.1.254/api/v1/dyndns;GET;private;Private;dyndns-read;No;Yes;List;dyndns-config
GET-DYNDNSPL;Get-DYNDNSProviderList;Get DYNDNS Provider List Configuration Information;dyndns;https://192.168.1.254/api/v1/dyndns;GET;private;Private;dyndns-read;No;Yes;Table;dyndns-provider
GET-DYNDNSC;Get-DYNDNSClient;Get DYNDNS Client list Configuration Information;dyndns;https://192.168.1.254/api/v1/dyndns;GET;private;Private;dyndns-read;No;Yes;Table;dyndns-client
GET-DYNDNSCID;Get-DYNDNSClientID;Get DYNDNS Client Configuration Information by ID;dyndns;https://192.168.1.254/api/v1/dyndns/{id};GET;private;Private;dyndns-read;No;Yes;List;dyndns-client-id
GET-ErrorCodeTest;Get-ErrorCodeTest;Error Code : Unauthorized;401;https://192.168.1.254/api/v1/401;GET;private;Private;host-read;No;Yes;List;error-401
